ID,First Name,Last Name,Money Available,Tickets Purchased,TicketMiner Membership,Username,Password
107,Christopher,Contreras,5934.16,0,false,contreraschristopher,Fun!23
108,David,Brown,5653.06,0,false,browndavid,Fun!23
109,Patrick,Henderson,4815.21,0,true,hendersonpatrick,Fun!23
110,Erica,Harrison,2382.93,0,false,harrisonerica,Fun!23
111,Katherine,Evans,2232.34,0,false,evanskatherine,Fun!23
112,Robert,Preston,2583.81,0,false,prestonrobert,Fun!23
113,Melissa,Mccormick,4598.3,0,true,mccormickmelissa,Fun!23
114,Austin,Griffin,4490.39,0,true,griffinaustin,Fun!23
115,Michael,Sanchez,1248.87,0,false,sanchezmichael,Fun!23
116,Theresa,Obrien,4517.07,0,false,obrientheresa,Fun!23
117,Chelsea,Gallagher,2223.49,0,false,gallagherchelsea,Fun!23
118,Crystal,Hudson,2166.74,0,false,hudsoncrystal,Fun!23
119,Travis,Mcdonald,4731.49,0,false,mcdonaldtravis,Fun!23
120,Logan,Palmer,4907.99,0,true,palmerlogan,Fun!23
121,Renee,Bradley,1167.48,0,true,bradleyrenee,Fun!23
122,Michele,Stevens,3646.51,0,false,stevensmichele,Fun!23
123,Kirsten,Robinson,2118,0,false,robinsonkirsten,Fun!23
124,Douglas,Rodriguez,2268.2,0,true,rodriguezdouglas,Fun!23
125,Christopher,Norris,3301.65,0,true,norrischristopher,Fun!23
126,Crystal,Walker,4993.78,0,true,walkercrystal,Fun!23
127,Sean,Roberts,5198,0,true,robertssean,Fun!23
128,Brittany,Hawkins,3500.52,0,false,hawkinsbrittany,Fun!23
129,Beverly,Johnson,1209.89,0,false,johnsonbeverly,Fun!23
130,Stephen,Ellis,2345.09,0,false,ellisstephen,Fun!23
131,James,King,3976.04,0,false,kingjames,Fun!23
132,Pamela,Carter,4787.7,0,false,carterpamela,Fun!23
133,Brian,Andrews,2921.79,0,false,andrewsbrian,Fun!23
134,Megan,Noble,5346.4,0,false,noblemegan,Fun!23
135,Monica,Davenport,5020,0,true,davenportmonica,Fun!23
136,Michelle,Holland,2407.96,0,false,hollandmichelle,Fun!23
137,Kyle,Hodges,2484.62,0,true,hodgeskyle,Fun!23
138,Paula,Wyatt,4267.71,0,false,wyattpaula,Fun!23
139,Shane,Miller,5790.6,0,false,millershane,Fun!23
140,Kimberly,Kline,1442.15,0,true,klinekimberly,Fun!23
141,Hannah,Arias,1808.45,0,true,ariashannah,Fun!23
142,Daniel,Hampton,5067.56,0,false,hamptondaniel,Fun!23
143,Jerry,Curtis,3167.09,0,false,curtisjerry,Fun!23
144,Jeffrey,Weiss,3576.22,0,false,weissjeffrey,Fun!23
145,Ronald,Parker,3342.51,0,false,parkerronald,Fun!23
146,Christopher,Coleman,4575.76,0,true,colemanchristopher,Fun!23
147,Thomas,Clark,2067.21,0,false,clarkthomas,Fun!23
148,Ashley,Romero,3315.86,0,false,romeroashley,Fun!23
149,Gail,Parker,4924.51,0,false,parkergail,Fun!23
150,Sean,Medina,3936.27,0,false,medinasean,Fun!23
151,Edward,Hernandez,5067.9,0,false,hernandezedward,Fun!23
152,Todd,Brooks,1487.04,0,true,brookstodd,Fun!23
153,Richard,Torres,3782.49,0,false,torresrichard,Fun!23
154,David,Gardner,3161.37,0,true,gardnerdavid,Fun!23
155,Rachel,Vasquez,4108.54,0,false,vasquezrachel,Fun!23
156,Ashley,Evans,1088.21,0,false,evansashley,Fun!23
157,Nancy,Morgan,2805.67,0,true,morgannancy,Fun!23
158,Richard,Vargas,3516.18,0,true,vargasrichard,Fun!23
159,Derrick,Grant,4785.51,0,true,grantderrick,Fun!23
160,Victoria,Martin,4339.76,0,true,martinvictoria,Fun!23
161,Marissa,Wagner,4744.95,0,false,wagnermarissa,Fun!23
162,Stephanie,Harris,5336.88,0,false,harrisstephanie,Fun!23
163,Richard,Blackwell,3062.64,0,true,blackwellrichard,Fun!23
164,Dylan,Harris,4850.87,0,true,harrisdylan,Fun!23
165,Philip,Zamora,4192,0,false,zamoraphilip,Fun!23
166,Melanie,Kirk,4979.13,0,true,kirkmelanie,Fun!23
167,Michael,Moran,4020.57,0,true,moranmichael,Fun!23
168,Jason,Burke,5453.29,0,true,burkejason,Fun!23
169,Susan,Hill,2398.58,0,false,hillsusan,Fun!23
170,Lauren,Neal,3837.55,0,false,neallauren,Fun!23
171,Jennifer,Williams,2316.73,0,false,williamsjennifer,Fun!23
172,Haley,Moss,5753.87,0,true,mosshaley,Fun!23
173,Justin,Wilson,967.99,0,false,wilsonjustin,Fun!23
174,Craig,Espinoza,4678.27,0,false,espinozacraig,Fun!23
175,Julie,Alexander,3727.84,0,true,alexanderjulie,Fun!23
176,Anthony,Sanchez,808.69,0,true,sanchezanthony,Fun!23
177,Thomas,King,5128.97,0,false,kingthomas,Fun!23
178,Christina,Walker,3664.84,0,false,walkerchristina,Fun!23
179,Linda,Bennett,1287.98,0,false,bennettlinda,Fun!23
180,Karla,Johnson,4395.47,0,true,johnsonkarla,Fun!23
181,Jill,Henderson,2345.24,0,false,hendersonjill,Fun!23
182,Sandra,Rogers,879.07,0,true,rogerssandra,Fun!23
183,Samuel,Harrington,2197.89,0,false,harringtonsamuel,Fun!23
184,Andrew,Garcia,2396.04,0,true,garciaandrew,Fun!23
185,James,Pittman,974.9,0,false,pittmanjames,Fun!23
186,Shannon,Holden,2931.35,0,true,holdenshannon,Fun!23
187,Renee,Zimmerman,3168.17,0,true,zimmermanrenee,Fun!23
188,Richard,Brown,955.83,0,true,brownrichard,Fun!23
189,Michael,Smith,2723.59,0,true,smithmichael,Fun!23
190,Nathan,Coleman,2727.37,0,false,colemannathan,Fun!23
191,Kimberly,Richardson,5074.79,0,true,richardsonkimberly,Fun!23
192,Emily,Richardson,1321.67,0,true,richardsonemily,Fun!23
193,Michael,White,1848.98,0,false,whitemichael,Fun!23
194,Cody,Scott,5745.78,0,true,scottcody,Fun!23
195,Jeremy,Alvarez,4137.55,0,false,alvarezjeremy,Fun!23
196,Keith,Ortiz,5518.45,0,true,ortizkeith,Fun!23
197,Mark,Ramos,3560.92,0,false,ramosmark,Fun!23
198,Eric,Vazquez,1544.8,0,true,vazquezeric,Fun!23
199,James,Hammond,2311.81,0,false,hammondjames,Fun!23
200,Michelle,Maldonado,3582.18,0,true,maldonadomichelle,Fun!23
201,Jeremy,Morris,2068.08,0,false,morrisjeremy,Fun!23
202,Olivia,Romero,2059,0,false,romeroolivia,Fun!23
203,Nicholas,Anderson,4737.83,0,false,andersonnicholas,Fun!23
204,Kim,Buckley,1805.46,0,false,buckleykim,Fun!23
205,Nicole,Rowland,4897.24,0,true,rowlandnicole,Fun!23
206,Samantha,Howell,1225.15,0,true,howellsamantha,Fun!23
207,Jerry,Lee,5637.68,0,true,leejerry,Fun!23
208,James,Nolan,3248.33,0,false,nolanjames,Fun!23
209,Sharon,Miller,2985.05,0,false,millersharon,Fun!23
210,Andrew,Parks,1850.78,0,false,parksandrew,Fun!23
211,Ethan,Holmes,2227.38,0,false,holmesethan,Fun!23
212,Mark,Lozano,1245.66,0,false,lozanomark,Fun!23
213,Molly,Cohen,2863.67,0,true,cohenmolly,Fun!23
214,Zachary,Ellison,812.09,0,true,ellisonzachary,Fun!23
215,Donna,Allen,3589.12,0,true,allendonna,Fun!23
216,Amanda,Miller,1074.77,0,true,milleramanda,Fun!23
217,Shirley,Foster,2512.44,0,false,fostershirley,Fun!23
218,Jeffrey,Delgado,3310.93,0,true,delgadojeffrey,Fun!23
219,Brian,Jensen,2291.81,0,true,jensenbrian,Fun!23
220,Sheila,Lewis,5755.66,0,true,lewissheila,Fun!23
221,Lee,Burke,1966.3,0,true,burkelee,Fun!23
222,Susan,Alvarez,1712.43,0,true,alvarezsusan,Fun!23
223,Bridget,Wagner,5495.09,0,false,wagnerbridget,Fun!23
224,Virginia,Phelps,4744.06,0,false,phelpsvirginia,Fun!23
225,Chase,Miller,890.59,0,false,millerchase,Fun!23
226,Timothy,Romero,1030.56,0,true,romerotimothy,Fun!23
227,Cesar,Jones,2410.38,0,true,jonescesar,Fun!23
228,Kathryn,Perez,3746.59,0,true,perezkathryn,Fun!23
229,Lisa,Garrett,899.49,0,true,garrettlisa,Fun!23
230,Mark,Lee,1081.89,0,false,leemark,Fun!23
231,Kelly,Yu,2913.78,0,false,yukelly,Fun!23
232,Christian,Smith,1478.48,0,false,smithchristian,Fun!23
233,Robert,Park,5742.36,0,false,parkrobert,Fun!23
234,Ariana,Lara,2408.37,0,true,laraariana,Fun!23
235,Roberto,Gutierrez,1241.14,0,false,gutierrezroberto,Fun!23
236,Maria,Mccarthy,5399.79,0,false,mccarthymaria,Fun!23
237,Brittany,Ray,2962.82,0,false,raybrittany,Fun!23
238,Shannon,Avery,5958.94,0,false,averyshannon,Fun!23
239,Joanna,Trevino,1798.84,0,false,trevinojoanna,Fun!23
240,Paul,Fisher,1608.95,0,true,fisherpaul,Fun!23
241,Alexander,Kelly,1509.97,0,true,kellyalexander,Fun!23
242,Destiny,Ferguson,2357.77,0,true,fergusondestiny,Fun!23
243,Samantha,May,5503.12,0,false,maysamantha,Fun!23
244,Joseph,Lewis,2831.24,0,true,lewisjoseph,Fun!23
245,Andrew,Campos,2709.31,0,false,camposandrew,Fun!23
246,Jesse,Montgomery,1134.13,0,true,montgomeryjesse,Fun!23
247,Anna,Gutierrez,1608.77,0,true,gutierrezanna,Fun!23
248,Joel,Arellano,1697.35,0,true,arellanojoel,Fun!23
249,Kaylee,Patterson,1985.15,0,true,pattersonkaylee,Fun!23
250,James,Henderson,4181.61,0,true,hendersonjames,Fun!23
251,Ashley,Jones,3323.54,0,true,jonesashley,Fun!23
252,Erik,Case,1300.98,0,false,caseerik,Fun!23
253,Dorothy,Cox,2766.66,0,false,coxdorothy,Fun!23
254,Jeffrey,Marquez,5896.32,0,true,marquezjeffrey,Fun!23
255,David,Gross,4312.15,0,true,grossdavid,Fun!23
256,Christopher,Wright,2417.77,0,false,wrightchristopher,Fun!23
257,Jessica,Moore,1006.54,0,true,moorejessica,Fun!23
258,Alejandra,Morris,2793.31,0,true,morrisalejandra,Fun!23
259,Darin,Porter,5079.29,0,true,porterdarin,Fun!23
260,Alexis,Ford,5982.71,0,true,fordalexis,Fun!23
261,Barbara,Robertson,4203.53,0,true,robertsonbarbara,Fun!23
262,David,Wright,2674.14,0,true,wrightdavid,Fun!23
263,Jessica,Martin,2095.8,0,true,martinjessica,Fun!23
264,Brooke,Padilla,5096.98,0,true,padillabrooke,Fun!23
265,Susan,Humphrey,3499.91,0,false,humphreysusan,Fun!23
266,Robert,Wu,5868.62,0,true,wurobert,Fun!23
267,Karen,Thomas,1582.86,0,true,thomaskaren,Fun!23
268,Chris,Holden,4985.82,0,false,holdenchris,Fun!23
269,Matthew,Erickson,3175.78,0,true,ericksonmatthew,Fun!23
270,Leroy,Walters,2151.39,0,true,waltersleroy,Fun!23
271,Brian,Castillo,4123.91,0,true,castillobrian,Fun!23
272,James,Romero,2952.51,0,false,romerojames,Fun!23
273,Karen,Zhang,5371.15,0,true,zhangkaren,Fun!23
274,David,Thomas,3914.06,0,true,thomasdavid,Fun!23
275,William,Hunter,2770.17,0,true,hunterwilliam,Fun!23
276,Craig,Schaefer,5166.97,0,false,schaefercraig,Fun!23
277,Michelle,Jones,2698.44,0,false,jonesmichelle,Fun!23
278,Angelica,Bruce,954.21,0,true,bruceangelica,Fun!23
279,Susan,Allen,1325.92,0,true,allensusan,Fun!23
280,Tanya,Davis,2954.74,0,false,davistanya,Fun!23
281,Mark,Richards,4455.91,0,true,richardsmark,Fun!23
282,Shannon,Bennett,3090.73,0,true,bennettshannon,Fun!23
283,Robert,Davis,892.57,0,false,davisrobert,Fun!23
284,Allison,Chang,4295,0,true,changallison,Fun!23
285,Michael,Williams,3472.26,0,true,williamsmichael,Fun!23
286,Susan,Garcia,4904,0,false,garciasusan,Fun!23
287,Mario,Walker,1904.44,0,false,walkermario,Fun!23
288,Mary,Church,1887.95,0,false,churchmary,Fun!23
289,Gregory,Sullivan,5977.02,0,false,sullivangregory,Fun!23
290,Lauren,Hall,3685.25,0,false,halllauren,Fun!23
291,Dawn,King,2797.43,0,false,kingdawn,Fun!23
292,Daniel,Romero,3613.02,0,true,romerodaniel,Fun!23
293,Jacqueline,Dunn,2155.33,0,false,dunnjacqueline,Fun!23
294,Chris,King,2377.02,0,false,kingchris,Fun!23
295,Tammy,Martinez,4720.61,0,false,martineztammy,Fun!23
296,Dustin,Oliver,2558.07,0,false,oliverdustin,Fun!23
297,Nicole,Harvey,4841.93,0,false,harveynicole,Fun!23
298,Matthew,Perez,1325.76,0,false,perezmatthew,Fun!23
299,Kristy,Hoover,1515.1,0,false,hooverkristy,Fun!23
300,Mary,Cruz,4747.99,0,true,cruzmary,Fun!23
301,Alexandra,Robinson,2289,0,true,robinsonalexandra,Fun!23
302,Tami,Alexander,1727.28,0,false,alexandertami,Fun!23
303,Susan,Davis,5063.29,0,true,davissusan,Fun!23
304,Jeffrey,Luna,3923.2,0,true,lunajeffrey,Fun!23
305,Adam,Maldonado,3481.81,0,false,maldonadoadam,Fun!23
306,Maria,Mitchell,5078.86,0,true,mitchellmaria,Fun!23
307,Stephen,Villegas,3443.57,0,true,villegasstephen,Fun!23
308,Ryan,Mcconnell,5652.86,0,true,mcconnellryan,Fun!23
309,Theresa,Macias,3532.69,0,false,maciastheresa,Fun!23
310,Lance,Dominguez,5870.44,0,true,dominguezlance,Fun!23
311,Bradley,Rodriguez,2689.09,0,false,rodriguezbradley,Fun!23
312,Gloria,Page,5218.16,0,false,pagegloria,Fun!23
313,Jasmine,Ramirez,2360.4,0,false,ramirezjasmine,Fun!23
314,David,Mills,3238.56,0,true,millsdavid,Fun!23
315,Elizabeth,Kim,4666.61,0,false,kimelizabeth,Fun!23
316,Laura,Smith,5180.88,0,true,smithlaura,Fun!23
317,Amy,Bradley,4828.9,0,true,bradleyamy,Fun!23
318,Denise,Morales,1155.64,0,true,moralesdenise,Fun!23
319,Marissa,Oconnell,1577.74,0,true,oconnellmarissa,Fun!23
320,Gregory,Maxwell,5329.76,0,false,maxwellgregory,Fun!23
321,Jenny,Henry,2913.69,0,false,henryjenny,Fun!23
322,Matthew,Campbell,2552.15,0,false,campbellmatthew,Fun!23
323,Lisa,Gaines,1499.23,0,true,gaineslisa,Fun!23
324,Jonathan,Christian,5189.48,0,false,christianjonathan,Fun!23
325,Brenda,Douglas,1705.02,0,true,douglasbrenda,Fun!23
326,Rachel,Phillips,2104.42,0,false,phillipsrachel,Fun!23
327,Jade,Crawford,1676.54,0,true,crawfordjade,Fun!23
328,Brian,Jacobson,4479.04,0,false,jacobsonbrian,Fun!23
329,Francisco,Moore,1916.39,0,true,moorefrancisco,Fun!23
330,Kathleen,Small,5227.86,0,true,smallkathleen,Fun!23
331,Lindsay,Webster,2417.99,0,false,websterlindsay,Fun!23
332,Michelle,Ortiz,5160.87,0,true,ortizmichelle,Fun!23
333,Cheryl,Wilson,5269.88,0,false,wilsoncheryl,Fun!23
334,Melissa,Rivera,4950.29,0,false,riveramelissa,Fun!23
335,Bryan,Hardy,3965.44,0,false,hardybryan,Fun!23
336,Jason,Wolfe,4403.9,0,true,wolfejason,Fun!23
337,Stacey,Paul,5132.57,0,false,paulstacey,Fun!23
338,Crystal,Johnson,1747.69,0,false,johnsoncrystal,Fun!23
339,Jordan,Wilson,3298.74,0,true,wilsonjordan,Fun!23
340,Amanda,Shepherd,2148.7,0,true,shepherdamanda,Fun!23
341,Alexander,Cameron,5942.05,0,false,cameronalexander,Fun!23
342,Kevin,Scott,4124.14,0,true,scottkevin,Fun!23
343,Kyle,Taylor,4199.74,0,true,taylorkyle,Fun!23
344,Kimberly,Garcia,3538.07,0,true,garciakimberly,Fun!23
345,Chelsea,Porter,4909.8,0,true,porterchelsea,Fun!23
346,Emma,Armstrong,3681.46,0,false,armstrongemma,Fun!23
347,Courtney,Johnson,1994.11,0,true,johnsoncourtney,Fun!23
348,Ronald,Kent,5690.62,0,false,kentronald,Fun!23
349,Ricky,Thompson,5683.39,0,true,thompsonricky,Fun!23
350,Denise,Williams,4935.77,0,false,williamsdenise,Fun!23
351,Jeffrey,Sloan,1395.24,0,true,sloanjeffrey,Fun!23
352,Brian,Hayes,5214.41,0,false,hayesbrian,Fun!23
353,Patricia,Glenn,4962.1,0,true,glennpatricia,Fun!23
354,Caroline,Torres,4262.23,0,true,torrescaroline,Fun!23
355,Benjamin,Johnson,3148.08,0,false,johnsonbenjamin,Fun!23
356,Christina,Wheeler,1758.84,0,false,wheelerchristina,Fun!23
357,Valerie,Moore,2669.63,0,true,moorevalerie,Fun!23
358,Deborah,Hunt,3984.91,0,false,huntdeborah,Fun!23
359,Sarah,Mosley,1004.75,0,false,mosleysarah,Fun!23
360,Donald,Haynes,3682.95,0,true,haynesdonald,Fun!23
361,Lisa,Brown,4532.52,0,false,brownlisa,Fun!23
362,Kenneth,Smith,5346.5,0,false,smithkenneth,Fun!23
363,Heidi,Barker,2757.59,0,false,barkerheidi,Fun!23
364,William,Wolf,4643.54,0,true,wolfwilliam,Fun!23
365,Elizabeth,Cordova,5756.47,0,true,cordovaelizabeth,Fun!23
366,Christopher,Jones,4630.27,0,false,joneschristopher,Fun!23
367,Robert,Wilson,3393.67,0,false,wilsonrobert,Fun!23
368,Amber,Brown,1416.3,0,false,brownamber,Fun!23
369,Antonio,Brooks,4245.57,0,true,brooksantonio,Fun!23
370,Dakota,Bender,5923.59,0,true,benderdakota,Fun!23
371,Kevin,Swanson,3733.52,0,false,swansonkevin,Fun!23
372,Christopher,Dominguez,1161.87,0,false,dominguezchristopher,Fun!23
373,Peggy,Murphy,5339.93,0,true,murphypeggy,Fun!23
374,Edward,Johnson,5625.38,0,true,johnsonedward,Fun!23
375,Misty,Horton,4837.47,0,true,hortonmisty,Fun!23
376,Christopher,Foster,5165.84,0,true,fosterchristopher,Fun!23
377,Carrie,Bennett,3338.72,0,false,bennettcarrie,Fun!23
378,Natasha,Wheeler,2377.07,0,true,wheelernatasha,Fun!23
379,Angel,Joseph,2135.37,0,true,josephangel,Fun!23
380,Daniel,Foster,2426.48,0,true,fosterdaniel,Fun!23
381,Rhonda,Kane,5455.39,0,true,kanerhonda,Fun!23
382,Jeffrey,Gonzalez,3825.07,0,false,gonzalezjeffrey,Fun!23
383,Jeremiah,Williamson,1483.64,0,false,williamsonjeremiah,Fun!23
384,Dean,Smith,5644.58,0,false,smithdean,Fun!23
385,Lisa,Stafford,5873.83,0,false,staffordlisa,Fun!23
386,Travis,Ruiz,5153.73,0,false,ruiztravis,Fun!23
387,Mary,Stevens,5690.28,0,false,stevensmary,Fun!23
388,Shane,Arnold,2508.1,0,false,arnoldshane,Fun!23
389,Teresa,Jacobs,3567.68,0,true,jacobsteresa,Fun!23
390,Joshua,Meadows,5976.96,0,false,meadowsjoshua,Fun!23
391,Thomas,Elliott,3636.78,0,false,elliottthomas,Fun!23
392,Elizabeth,Alvarez,5623.78,0,false,alvarezelizabeth,Fun!23
393,Alicia,Jenkins,3966.98,0,false,jenkinsalicia,Fun!23
394,Jacob,Williams,4856.49,0,false,williamsjacob,Fun!23
395,Michele,Cummings,5523.24,0,false,cummingsmichele,Fun!23
396,Craig,Oconnell,3869.86,0,true,oconnellcraig,Fun!23
397,Joseph,Brooks,2811.82,0,true,brooksjoseph,Fun!23
398,Anthony,Hardin,2746.61,0,false,hardinanthony,Fun!23
399,Norman,Freeman,5682.88,0,true,freemannorman,Fun!23
400,Devin,Diaz,2909.48,0,true,diazdevin,Fun!23
401,Donna,Travis,3006.8,0,true,travisdonna,Fun!23
402,Tanya,Kent,4047.88,0,true,kenttanya,Fun!23
403,Keith,Ellis,5037.4,0,true,elliskeith,Fun!23
404,Anthony,Sims,4247.98,0,true,simsanthony,Fun!23
405,Krystal,Thompson,980.14,0,true,thompsonkrystal,Fun!23
406,Benjamin,Ramirez,5401.73,0,true,ramirezbenjamin,Fun!23
407,Scott,Rose,2134.71,0,true,rosescott,Fun!23
408,Jessica,Fernandez,4692.51,0,true,fernandezjessica,Fun!23
409,Michael,Castillo,2549.53,0,true,castillomichael,Fun!23
410,Ruben,Edwards,1103.28,0,false,edwardsruben,Fun!23
411,Ashley,Wilcox,4388.53,0,false,wilcoxashley,Fun!23
412,Allison,Cross,948.67,0,true,crossallison,Fun!23
413,Anita,Stein,1755.73,0,false,steinanita,Fun!23
414,Sean,Hull,5170.03,0,true,hullsean,Fun!23
415,Ricardo,Rodriguez,2666.32,0,false,rodriguezricardo,Fun!23
416,David,Soto,3264.75,0,false,sotodavid,Fun!23
